,Area,I1,I2,I3,I4,I5,I6,Class
258,2.60959440923,0.780192815267,2.7310736506,4.04956637519,5.65991311961,10.5146920127,7.02546065851,0
288,2.23929947913,0.700272210766,1.96739873103,2.9848196444,4.05910351217,7.75413835936,5.24979674761,0
1457,2.16583762469,0.793388082836,3.79274458123,4.29099669785,6.52534077804,12.0994344722,8.96047503834,1
209,2.03742649794,0.793301844043,3.94602058016,5.50857727845,6.92091532734,13.426527805,8.92849499201,0
1012,2.57921178023,0.560573613797,1.48673452464,2.72667867651,3.0218807645,5.92074720888,3.78751361906,0
1312,2.2833012287,0.684824606051,1.80156820184,3.57424233764,4.8924986256,9.23647145542,5.91182444997,1
1154,2.34242268082,0.213018985027,0.913683280733,0.796765718775,1.39084095407,2.89298895203,2.03442921097,0
629,2.35024801833,0.502646356435,1.69945797559,1.71397283234,1.96783191536,4.03969487681,3.51434934616,0
716,2.3961993471,0.527769501484,1.30569768126,3.38944214388,3.30197590456,6.65342235048,3.99102349191,0
1402,1.96378782735,0.687930468971,2.16863259314,2.86415314015,3.73780070118,7.56482272195,5.20834617945,1
549,2.92737036304,0.767121693858,2.41688720131,6.30505521463,7.83992701444,15.5246368519,9.94424813838,0
681,2.78993308093,0.774249909794,2.7004967566,4.13724138263,5.28459538458,10.0367868414,6.63832458779,0
390,2.06258198423,0.670788718258,1.79875715571,3.33796258652,4.35953095426,8.50040582518,5.35469423695,0
788,2.03542973818,0.712993053471,2.30192180217,3.67256550201,4.27609838319,8.2589926032,5.42711576753,0
1497,2.33545790069,0.758892635484,3.32346406258,3.12827165744,4.6596605571,8.60150142937,6.42310398886,1
189,2.78067727443,0.512640984583,1.76018018507,3.0473986694,3.40172534701,6.62678853292,4.2849475566,0
23,2.24054924828,0.683438816489,2.31920484244,2.57598937275,3.15618788651,6.04975600536,4.32465415549,0
880,2.73158876519,0.738952462599,2.13008996275,4.20942367485,5.50683926243,10.365151538,6.57191207378,0
74,2.74429298312,0.777104325363,2.60585398503,4.87203308648,6.35450641129,11.9683543338,7.65770990995,0
936,2.39445168083,0.686317068654,2.01916857461,3.15278469224,3.64323690013,7.2102323149,4.76604835542,0
511,3.02796085979,0.781021954449,2.73892679614,4.63261136979,6.21734443644,11.9850923189,7.9581815679,0
391,2.67348169707,0.759302497669,3.1845946514,2.97387106993,4.45999400978,8.25455389589,6.15651808005,0
1465,1.92685670895,0.669228160402,1.79884821827,2.84115756475,3.53135086296,6.80897884968,4.72142729919,1
417,2.94026739145,0.772184166905,2.49938696403,6.20352672281,7.49683570925,14.3969105573,8.83768885102,0
138,2.33745926129,0.763502548928,2.94101589479,3.21416252211,4.29568413715,8.05145146246,5.82560699199,0
51,2.47494433547,0.743930079938,2.39088109616,3.05032664158,4.33934884648,8.14217589806,5.64487037968,0
64,2.98654781341,0.565342224495,1.43794892608,2.43363673996,2.74520880816,5.33581964306,3.46431082312,0
1134,3.04080006126,0.783186442056,2.75994249978,5.21905773251,7.03596794396,13.8012503168,8.95256379678,0
718,1.96848294855,0.752462300666,2.59310210773,3.36371024448,4.7150477249,8.8120113658,6.04779791386,0
893,2.49968708262,0.703742046587,2.46789027337,3.22784899609,3.72584697489,7.70003536021,5.48336493122,0
232,2.00646604225,0.768704065925,2.5430683705,4.8128560019,6.21971667123,13.2705759802,7.9017565028,0
1047,1.87215627275,0.788480822085,3.4467160718,5.30728726662,7.39130665817,14.1768893898,9.16197021894,0
1067,3.08314414314,0.773423388238,2.52435170016,5.20124785679,6.72459678249,12.7744414527,8.09697717766,0
616,2.8907003977,0.745851032847,2.21398934881,4.2923855472,5.20136101019,10.084606139,6.41999195727,0
1000,2.10209052551,0.75330497842,3.8905680675,2.9817016761,4.53695697872,8.47932541318,6.5301233778,0
1488,3.09673626046,0.780332256188,3.50425709113,3.92786077604,5.80547675059,10.7787882739,7.72767717971,1
