Image,I1,I2,I3,I4,I5,I6,Class
Captured 5 - vermelho.jpg,0.405110552,1.310050583,1.275001919,1.656777382,3.122918252,2.343080412,Corante
Captured 5 - vermelho.jpg,0.738252165,2.516395172,3.402472282,4.998474605,9.550550514,6.456966044,Corante
Captured 5 - vermelho.jpg,0.783891065,3.861501824,4.095908511,6.784061376,12.27708089,8.850023721,Corante
Captured 5 - vermelho.jpg,0.668087075,1.890961732,2.761781711,4.000469778,7.802464176,5.222073366,Corante
Captured 5 - vermelho.jpg,0.731745883,2.578367694,3.486796505,5.584688626,10.25236648,6.911341814,Corante
Captured 5 - vermelho.jpg,0.620947576,1.888824631,2.453113423,3.55793663,7.438908628,5.139392121,Corante
Captured 5 - vermelho.jpg,0.712112882,2.385468488,2.999021548,3.585822222,6.878332007,4.791311857,Corante
Captured 5 - vermelho.jpg,0.716990968,3.033096,4.099797214,4.142200864,8.277393776,5.756679895,Corante
Captured 5 - vermelho.jpg,0.540022236,1.692265559,2.887582292,4.194563255,7.77105594,5.11241257,Corante
Captured 5 - vermelho.jpg,0.766762382,3.122896931,4.68140394,5.110170797,10.3328335,6.7719466,Corante
Captured 5 - vermelho.jpg,0.751035914,3.427031916,3.914146363,4.523883912,8.953799274,6.257643159,Corante
Captured 5 - vermelho.jpg,0.52624322,1.390849114,2.014530258,2.516834743,4.785345111,3.214885297,Corante
Captured 5 - vermelho.jpg,0.759331994,2.638348604,4.227475323,5.787632682,10.89064778,7.871610688,Corante
Captured 5 - vermelho.jpg,0.721150152,2.815735469,3.456334361,5.133522946,9.454048759,6.611659011,Corante
Captured 5 - vermelho.jpg,0.70107606,2.271097529,3.970376086,4.490700781,9.013639549,5.856356972,Corante
Captured 5 - vermelho.jpg,0.732846743,2.689775545,2.852663234,4.355262126,8.538951663,6.190972655,Corante
Captured 5 - vermelho.jpg,0.727191278,2.23070459,4.592480994,4.769948194,9.747617294,6.562129285,Corante
Captured 5 - vermelho.jpg,0.779877564,3.041954799,4.550742277,8.051633485,15.46995727,10.02419009,Corante
Captured 5 - vermelho.jpg,0.639668023,1.873440358,2.697981667,3.562977356,7.443973234,4.9296622,Corante
Captured 5 - vermelho.jpg,0.541809114,1.580528464,2.026438861,2.27663718,4.428677845,3.074929263,Corante
Captured 5 - vermelho.jpg,0.751560776,2.398358479,3.748883942,5.592108546,10.66983467,7.384033716,Corante
Captured 5 - vermelho.jpg,0.699932127,3.2075791,3.490950577,3.591584611,8.982894464,5.491216929,Corante
Captured 5 - vermelho.jpg,0.702624485,3.209782507,3.638984005,3.840133671,8.007706527,5.713130846,Corante
Captured 5 - vermelho.jpg,0.532152041,2.252159392,2.900004372,2.768589758,7.046868648,3.895177693,Corante
Captured 5 - vermelho.jpg,0.326886253,0.985274978,2.322886442,2.649678834,5.317802936,3.143724279,Corante
